Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config,Default Format,Spatial Guid
Antigravity,Application,Render,G435 Wireless Gaming Headset,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{aa49c661-fc14-4608-8644-89e1239fbadb}|\Device\HarddiskVolume3\Users\panca\AppData\Local\Programs\antigravity\Antigravity.exe%b{00000000-0000-0000-0000-000000000000}|1%b13424,G435 Wireless Gaming Headset\Application\Antigravity,C:\Users\panca\AppData\Local\Programs\antigravity\Antigravity.exe,13424,,,,,
Audífono de los auriculares con micrófono,Device,Render,G435 Wireless Gaming Headset,Render,Render,,Active,No,0.00 dB,100.0%,-65.63 dB,0.00 dB,0.38 dB,1,0.00 dB,100.0%,{0.0.0.00000000}.{aa49c661-fc14-4608-8644-89e1239fbadb},G435 Wireless Gaming Headset\Device\Audífono de los auriculares con micrófono\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{aa49c661-fc14-4608-8644-89e1239fbadb},0x3 0x0 0x0,"2 Channel, 16 bit, 48000 Hz",
Auriculares,Device,Render,Hi-MAX,,,Render,Active,No,0.00 dB,100.0%,-60.00 dB,0.00 dB,0.50 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{0.0.0.00000000}.{8240f02f-cfe0-4b33-abfc-f027920ca82a},Hi-MAX\Device\Auriculares\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{8240f02f-cfe0-4b33-abfc-f027920ca82a},0x3 0x0 0x0,"2 Channel, 32 bit, 384000 Hz",
Capturar,Subunit,Capture,TONOR TC310 USB MIC,,,,,No,,100.0%,0.00 dB,10.06 dB,0.06 dB,1,10.06 dB,100.0%,{2}.\\?\usb#vid_0d8c&pid_0134&mi_00#7&250710f2&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020004,TONOR TC310 USB MIC\Subunit\Capturar,,,,,,,
Capturar,Subunit,Capture,G435 Wireless Gaming Headset,,,,,No,,100.0%,-33.50 dB,0.00 dB,0.50 dB,1,0.00 dB,100.0%,{2}.\\?\usb#vid_046d&pid_0acb&mi_00#7&8f5086&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020001,G435 Wireless Gaming Headset\Subunit\Capturar,,,,,,,
Discord,Application,Render,G435 Wireless Gaming Headset,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{aa49c661-fc14-4608-8644-89e1239fbadb}|\Device\HarddiskVolume3\Users\panca\AppData\Local\Discord\app-1.0.9254\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b21712,G435 Wireless Gaming Headset\Application\Discord,C:\Users\panca\AppData\Local\Discord\app-1.0.9254\Discord.exe,21712,,,,,
Discord,Application,Render,Hi-MAX,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{8240f02f-cfe0-4b33-abfc-f027920ca82a}|\Device\HarddiskVolume3\Users\panca\AppData\Local\Discord\app-1.0.9254\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b21712,Hi-MAX\Application\Discord,C:\Users\panca\AppData\Local\Discord\app-1.0.9254\Discord.exe,21712,,,,,
Discord,Application,Capture,G435 Wireless Gaming Headset,,,,Active,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{f4782756-1736-4682-9ed9-f4f41f5d1a5a}|\Device\HarddiskVolume3\Users\panca\AppData\Local\Discord\app-1.0.9254\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b21984,G435 Wireless Gaming Headset\Application\Discord,C:\Users\panca\AppData\Local\Discord\app-1.0.9254\Discord.exe,21984,,,,,
Discord,Application,Render,G435 Wireless Gaming Headset,,,,Active,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{aa49c661-fc14-4608-8644-89e1239fbadb}|\Device\HarddiskVolume3\Users\panca\AppData\Local\Discord\app-1.0.9254\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b21984,G435 Wireless Gaming Headset\Application\Discord,C:\Users\panca\AppData\Local\Discord\app-1.0.9254\Discord.exe,21984,,,,,
G435 Wireless Gaming Headset,Subunit,Render,G435 Wireless Gaming Headset,,,,,No,,100.0%,-65.63 dB,0.00 dB,0.38 dB,1,0.00 dB,100.0%,{2}.\\?\usb#vid_046d&pid_0acb&mi_00#7&8f5086&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020007,G435 Wireless Gaming Headset\Subunit\G435 Wireless Gaming Headset,,,,,,,
